"ig_name","name","followers","following","avg_likes","avg_comments","avg_engagements","est_er"
daviedaruan,Davied,306,18,4.083333333333333,0.16666666666666666,4.25,1.3888888888888888
bintangfathan_,Bintang Fathan Ariyansah,340,577,72.08333333333333,2.5833333333333335,74.66666666666667,21.960784313725487
nzinhere,Hanum Aprilia,312,236,58.833333333333336,12.0,70.83333333333333,22.702991452991455
iqbaljuwinda,Iqbal Juwinda,329,1326,25.636363636363637,0.45454545454545453,26.09090909090909,7.930367504835589
baronztt_246,baronzt khacaw,319,159,14.833333333333334,0.6666666666666666,15.5,4.858934169278997
otinito,Nito Nugroho,313,329,32.583333333333336,1.1666666666666667,33.75,10.782747603833865
antilegcramps,Anti Leg Cramps,314,231,78.58333333333333,9.25,87.83333333333333,27.9723991507431
jim_mongkau,Jimmy Jim'zz Mongkau,312,510,34.75,1.9166666666666667,36.666666666666664,11.752136752136751
_abrahambr,Abraham,318,154,49.083333333333336,0.5833333333333334,49.666666666666664,15.618448637316561
noor.hidayah24,Noor Hidayah,329,413,10.416666666666666,0.75,11.166666666666666,3.394123606889564
honeyquin_19,Honey Grace,320,1019,12.083333333333334,1.0833333333333333,13.166666666666666,4.114583333333334
rifqiananta5,Rifqi Dwi Ananta,319,352,32.083333333333336,1.0,33.083333333333336,10.370950888192269
hanifhmal,Hanifah Amalia,332,396,48.25,1.5833333333333333,49.833333333333336,15.010040160642571
hauralidanti,L I D A N T I,361,191,58.666666666666664,2.8333333333333335,61.5,17.03601108033241
vhellyxsmdha_,Vhellyxs Mudha,322,293,27.5,0.3333333333333333,27.833333333333332,8.643892339544514
yasirmoonthe,yasir moonthe,319,739,15.25,0.0,15.25,4.7805642633228835
mayethfdeguzman,엠 💜,324,327,12.25,1.8333333333333333,14.083333333333334,4.346707818930041
ryan300394,Ryan  Permana,316,441,12.333333333333334,0.25,12.583333333333334,3.9820675105485233
_itsmekristinee,_💙💜aestineee🦄🦋,331,277,8.833333333333334,0.0,8.833333333333334,2.668680765357503
revanfachreza212,Vann:*,326,244,2.8333333333333335,0.0,2.8333333333333335,0.869120654396728
trihandini_y,Trihandini Yuniar || dy_henna,331,309,18.25,1.5833333333333333,19.833333333333332,5.991943605236656
dannruzzel,Ruzz,326,166,9.083333333333334,0.0,9.083333333333334,2.7862985685071577
arafahnurul_,nurul arafah,328,363,12.333333333333334,0.08333333333333333,12.416666666666666,3.785569105691057
z.achsan,ℤ. ᗅℂℍՏᗅℕ,336,256,34.5,0.8333333333333334,35.333333333333336,10.515873015873016
ikbal_izagge,Ikbal Izagge,331,401,20.833333333333332,2.0833333333333335,22.916666666666668,6.923464249748237
fajrizqi,Fajri rizqi,330,353,77.5,2.75,80.25,24.31818181818182
datonk,Datong Yudistira Adji 🔵,349,256,17.833333333333332,1.3333333333333333,19.166666666666668,5.491881566380133
findra13,Anak bapak Wawan Setiawan,335,441,38.416666666666664,1.4166666666666667,39.833333333333336,11.89054726368159
riafuzy,uzy,338,219,15.666666666666666,2.25,17.916666666666668,5.300788954635108
ef_klimpel,eғι ĸlιмpel,336,305,32.166666666666664,1.75,33.916666666666664,10.09424603174603
paulbhonchoest,Paul Bhonchoest,341,263,12.583333333333334,0.5833333333333334,13.166666666666666,3.8611925708699903
ari5045,ARi andika Anggraini ( ARANI ),338,591,4.333333333333333,0.0,4.333333333333333,1.282051282051282
shvxnii,Shivanii,340,244,12.166666666666666,0.8333333333333334,13.0,3.823529411764706
jemdramirez,Jem Dicen Ramirez,347,611,33.416666666666664,1.5,34.916666666666664,10.062439961575407
redrowk,,342,3355,240.0,7.0,247.0,72.22222222222221
supianafif,Supian Ririn Afif,347,698,7.5,0.3333333333333333,7.833333333333333,2.2574447646493754
gunsxrd,Guntur Ramadani,334,369,22.083333333333332,0.6666666666666666,22.75,6.811377245508981
joyba,Joy B,350,240,23.666666666666668,0.5,24.166666666666668,6.904761904761905
wulalan,Wulandari Fera Yanti,355,316,56.083333333333336,5.916666666666667,62.0,17.464788732394364
rahmataminw,Rahmat Amin Walidaini,351,292,50.916666666666664,4.5,55.416666666666664,15.788224121557453
seinrosyidi,Sein Rosyidi,346,248,38.333333333333336,3.3333333333333335,41.666666666666664,12.04238921001927
althariq_nrj,J.A.T.I.,354,97,49.625,0.625,50.25,14.194915254237289
auliasumi,Aulia Suminar Ayu,363,366,24.75,1.5,26.25,7.231404958677685
frhnptra24,farhan putra,353,359,86.33333333333333,5.166666666666667,91.5,25.920679886685555
pamngks21_,Tri Nur Alam Pamungkas⏰,361,345,30.166666666666668,0.5,30.666666666666668,8.494921514312097
ra_ardiansya,Rifki Ardiansyah,391,246,69.16666666666667,3.0833333333333335,72.25,18.478260869565215
wahidtsani10,Wahid Tsani Lillahi Amanu,387,276,75.75,1.8333333333333333,77.58333333333333,20.047372954349697
ryaan_nasrull,Ryaan,371,219,20.5,0.9166666666666666,21.416666666666668,5.772686433063791
aidulsasimi,Aidul Sasimi,370,558,8.5,0.08333333333333333,8.583333333333334,2.31981981981982
tio_cb125,Tio Bikers Sepeat,367,704,25.25,0.0,25.25,6.8801089918256135
njlaalia,Najla Alia F,403,302,87.2,14.6,101.8,25.260545905707193
shofwanhrp92,Muhammad Sofwan Harahap,367,1140,21.916666666666668,1.5,23.416666666666668,6.380563124432334
ndbquiambao,nekkkki,375,460,37.666666666666664,2.0,39.666666666666664,10.577777777777778
henhen79,henhen79,374,995,8.0,0.6666666666666666,8.666666666666666,2.31729055258467
superstanz,Stenly Yonardi,377,167,37.5,2.0833333333333335,39.583333333333336,10.499557913351017
baihaqifjr_,Bagas Fajr,361,131,98.08333333333333,1.5833333333333333,99.66666666666667,27.60849492151431
diadinugraha,diadinugraha,396,354,49.166666666666664,9.166666666666666,58.333333333333336,14.73063973063973
jauhar_maruf,jauhar_123,378,315,78.58333333333333,0.8333333333333334,79.41666666666667,21.00970017636684
btsarmytime_,Army 방탄,703,1100,67.75,0.8333333333333334,68.58333333333333,9.755808440018967
theskincaredummy,KAI 🍃,595,379,90.16666666666667,12.25,102.41666666666667,17.212885154061624
satrianatan,satrianatan,401,704,13.833333333333334,0.16666666666666666,14.0,3.4912718204488775
garena_ff_free_fire,free fire_Garena,302,28,193.33333333333334,0.5555555555555556,193.88888888888889,64.20161883738042
da_fikri_chan_059,the old account fikri adrian,356,1421,36.083333333333336,0.6666666666666666,36.75,10.323033707865168
andiarifin5327,Andi Arifin,390,326,19.5,0.75,20.25,5.1923076923076925
tedi.ms,Tedi M Setiadi,409,900,34.416666666666664,4.0,38.416666666666664,9.39282803585982
aryaadiseto,Arya Adi Seto,391,332,46.5,2.75,49.25,12.595907928388748
lyka.corpuz,Lyka Corpuz Senina 💫,410,382,19.0,0.0,19.0,4.634146341463414
hanzatom,Dum Dum (Hans Alexander),384,68,18.0,0.5833333333333334,18.583333333333332,4.839409722222221
angelia_sari1011,,441,1155,17.5,2.25,19.75,4.478458049886622
glrselin,Gloria Selin,393,216,54.0,4.363636363636363,58.36363636363637,14.850798056904926
alimjaizul_w,ALIMJAIZUL_W,382,938,614.5,0.75,615.25,161.06020942408378
ghofurnakragil,Ghofur,392,212,9.083333333333334,0.75,9.833333333333334,2.508503401360544
msyehar,M Syeha R,393,564,16.25,0.0,16.25,4.134860050890586
cndchrndz,ᴄᴀɴᴅɪᴄᴇ,396,584,65.33333333333333,6.083333333333333,71.41666666666667,18.034511784511782
anggarakece,A N G G A R A,394,379,44.166666666666664,0.16666666666666666,44.333333333333336,11.252115059221657
khatami848,Hatami,407,81,25.5,0.3333333333333333,25.833333333333332,6.347256347256347
feby_seprina12,Feby,403,802,15.25,0.5,15.75,3.9081885856079404
luthfi_alfian21,Luthfi Alfian,413,1609,36.083333333333336,0.75,36.833333333333336,8.918482647296207
mikangelojr,Michael Angelo Kukuh Pradityo,400,330,26.25,5.166666666666667,31.416666666666668,7.854166666666668
stefanieangelia,stefanie angelia,413,406,27.0,0.3333333333333333,27.333333333333332,6.618240516545601
im_wijaya,Salman Cakra Wijaya,410,358,76.75,7.083333333333333,83.83333333333333,20.447154471544714
suryaa_darma,Surya Darma,409,202,85.58333333333333,7.416666666666667,93.0,22.73838630806846
ch32x,👽chechemingay👽,424,1279,38.0,0.9166666666666666,38.916666666666664,9.178459119496855
kevindaegaz,Kevin D. Pangestu,432,713,76.58333333333333,8.583333333333334,85.16666666666667,19.714506172839506
gherald_gaming,Gherald Gaming,406,1425,5.333333333333333,0.08333333333333333,5.416666666666667,1.3341543513957306
aay_arong097,Bang Aay,397,1177,11.166666666666666,0.16666666666666666,11.333333333333334,2.8547439126784213
angelineco,angelineco,419,2577,6.583333333333333,0.3333333333333333,6.916666666666667,1.650755767700875
renatasiyama11,RENATA LILIN SIYAMA.,484,445,40.25,0.16666666666666666,40.416666666666664,8.350550964187327
_adnanghazali_,adnan sdit an nadwah,419,1066,13.75,1.0,14.75,3.5202863961813846
princezqueenstar,Cez Andal,412,1060,23.166666666666668,0.8333333333333334,24.0,5.825242718446602
cezodecastraw,Cez De Castro,424,418,14.75,0.5,15.25,3.5966981132075473
abelharun,Abel Harun,425,548,12.0,1.6666666666666667,13.666666666666666,3.215686274509804
robii_stwn,Obii,336,81,37.25,1.3333333333333333,38.583333333333336,11.483134920634921
bernadethaekaputri,Bernadetha Ekaputri,419,296,36.416666666666664,8.25,44.666666666666664,10.66030230708035
mauli.mehndi,Henna Art Purwakarta,428,470,30.416666666666668,0.9166666666666666,31.333333333333332,7.320872274143303
a.hagul,Albert Hagul,426,340,41.166666666666664,1.9166666666666667,43.083333333333336,10.113458528951485
iselleverythingjkt,iSellEverything,437,123,6.166666666666667,0.3333333333333333,6.5,1.4874141876430207
aldiansyhdp,Aldiansyah Dwi Putra,426,464,75.2,5.9,81.1,19.03755868544601
mhd_risman07,Muhammad Risman,425,1294,23.333333333333332,0.4166666666666667,23.75,5.588235294117648
ahmad.el.shofa,ahmad.el.shofa,418,2091,20.5,0.25,20.75,4.964114832535885
zulfian_fikar,zulfikar,427,1783,7.666666666666667,0.25,7.916666666666667,1.8540202966432475
hardianimansyah,Hardian Imansyah Putra,422,499,84.16666666666667,3.5833333333333335,87.75,20.79383886255924
kadomuhammad,Kabiru Ado Muhammad,34,2,0,0,0,0
andaya.iswara,Abi Andaya Iswara,435,770,16.916666666666668,1.3333333333333333,18.25,4.195402298850575
dewamade_su,Dewa Made Wahyu Dhyatmika,428,401,94.0,3.6666666666666665,97.66666666666667,22.819314641744548
hashbi.ash,Hashbi Ashshidiq▶️hasbash,448,388,35.166666666666664,1.0833333333333333,36.25,8.091517857142858
olguh,Olga,432,3446,6.166666666666667,0.6666666666666666,6.833333333333333,1.5817901234567902
cikal_onedy,Cikal Sadar,455,586,15.083333333333334,0.4166666666666667,15.5,3.4065934065934065
kevdanielp,Kevin Daniel,454,411,78.25,4.333333333333333,82.58333333333333,18.190161527165934
adiwangsaaa,Priadi Cipta Wijaya,438,321,160.58333333333334,3.1666666666666665,163.75,37.385844748858446
mifamufida,Nur Mufidatunnisa,436,327,42.333333333333336,5.833333333333333,48.166666666666664,11.047400611620796
gendhisresa,Gendhis Resa Dianti,470,414,62.5,7.083333333333333,69.58333333333333,14.80496453900709
aryajulyan,julyan arya,437,455,82.16666666666667,5.416666666666667,87.58333333333333,20.0419527078566
aurodya,Audy,637,243,66.0,4.75,70.75,11.10675039246468
pujaalbaroqah,puja albaroqah,471,369,56.333333333333336,0.6666666666666666,57.0,12.101910828025478
katealfajora,Katie Alfajora,445,453,34.75,5.25,40.0,8.98876404494382
masyrifah_alkamalia,masyrifah,452,188,67.5,0.0,67.5,14.933628318584072
biintaang,星,444,140,21.25,3.75,25.0,5.63063063063063
itsarjventures,R J C S ★ 👑🇵🇭,455,915,19.416666666666668,1.25,20.666666666666668,4.542124542124543
nabellaputrianthi,Nabella Putrianthi,468,432,48.416666666666664,4.166666666666667,52.583333333333336,11.235754985754985
ekyy_17,Ekyy__,482,117,43.5,0.5,44.0,9.12863070539419
ahyasbudi,,463,487,61.5,3.1666666666666665,64.66666666666667,13.96688264938805
alief_phoenix,Alief's @Dark_Phoenix,469,647,70.66666666666667,3.75,74.41666666666667,15.867093105899077
degaditya,Degaditya Handoko,452,449,112.0,5.333333333333333,117.33333333333333,25.958702064896755
erientantra,erien tantra,369,3424,27.1,3.1,30.2,8.184281842818429
frzraul_,FarizRaulMuharam.,473,539,57.5,4.333333333333333,61.833333333333336,13.072586328400282
thetransportqueen,Bunting,462,1498,19.166666666666668,4.166666666666667,23.333333333333332,5.050505050505051
itsmesaverah,Saverah Jhoy Villafranca,456,224,10.083333333333334,0.5833333333333334,10.666666666666666,2.339181286549708
guillac,Guiller Lagac🍼🎼✏,464,487,16.5,1.5833333333333333,18.083333333333332,3.897270114942528
edwrdgtrrz,Edward Gutierrez,458,1030,8.75,0.08333333333333333,8.833333333333334,1.9286754002911208
vitrdew,Vitria Dewi Maharani,486,540,67.6,2.7,70.3,14.465020576131687
el_fahrurizal,Lukman Fahrurizal,467,1202,48.666666666666664,8.0,56.666666666666664,12.134189864382583
jacobismyname_04,Jacob din labalan,464,57,20.818181818181817,0.6363636363636364,21.454545454545453,4.623824451410658
d.c.josesebastiann,Jose Sebastian,483,480,136.58333333333334,7.666666666666667,144.25,29.865424430641824
okkytania,Okkytania E Parsetiorini,478,571,32.916666666666664,0.6666666666666666,33.583333333333336,7.025801952580195
bagas.koro15,Bagaskoro ⚓️,467,395,30.416666666666668,0.5,30.916666666666668,6.620271234832263
henky.halim,Henky Halim,520,463,40.416666666666664,5.083333333333333,45.5,8.75
mae_theunicorn,DARWIN  EUGENIO,469,1312,44.25,6.583333333333333,50.833333333333336,10.83866382373845
novalzindann,Noval Zindann,490,746,76.91666666666667,3.1666666666666665,80.08333333333333,16.34353741496599
rendymertadiwangsa,Rendy Mertadiwangsa,470,372,56.583333333333336,4.166666666666667,60.75,12.925531914893618
arokkrisna,Arok A. Krisna,475,335,70.16666666666667,2.8333333333333335,73.0,15.368421052631579
puttriambr,푸트리,469,307,89.33333333333333,4.083333333333333,93.41666666666667,19.9182658137882
zonssss,bambangindrawahyudi,490,195,53.5,2.5,56.0,11.428571428571429
andhiebebexijo,Andhie Bebex Ijo,493,361,19.583333333333332,3.3333333333333335,22.916666666666668,4.64841108857336
irmakosmetik18,Irma Agen Kosmetik Termurah,328,576,13.583333333333334,0.6666666666666666,14.25,4.3445121951219505
aux1traveler,𝕁𝕠𝕟𝕒𝕥𝕙𝕒𝕟 𝕄𝕠𝕣𝕒𝕝𝕖𝕤,482,489,76.5,15.166666666666666,91.66666666666667,19.0179806362379
patriasrespati,Patria S. Respati,553,634,31.0,3.0833333333333335,34.083333333333336,6.163351416515974
asantiy17,Asanti Nurhandayani,475,673,33.083333333333336,0.75,33.833333333333336,7.12280701754386
denwisnu20,Wisnu L.Wardhana,507,789,28.166666666666668,0.16666666666666666,28.333333333333332,5.588428665351743
ferdycengli,Ferdy Cengli,493,567,19.083333333333332,0.3333333333333333,19.416666666666668,3.938471940500338
yuditarum,yudit arum,481,302,63.333333333333336,3.1666666666666665,66.5,13.825363825363826
dedi_tm92,Dedi JR,483,286,22.916666666666668,1.5,24.416666666666668,5.055210489993099
jnygvra,𝐉𝐄𝐍𝐘,492,325,82.3,5.8,88.1,17.90650406504065
kyon1201,Yosuke Fukada,489,488,27.75,0.5833333333333334,28.333333333333332,5.794137695978187
sora_dee,🌸Dee🌸,587,489,41.75,8.75,50.5,8.603066439522998
anppr_,Angga Putra Pratama,489,499,125.58333333333333,13.0,138.58333333333334,28.340149965916833
dhey17_,DH,493,126,25.0,0.3333333333333333,25.333333333333332,5.138607167004733
sarif_2104,Ahmad sarif osd,478,133,29.25,0.16666666666666666,29.416666666666668,6.154114365411437
harmi.sjr92,Harmi. N,489,281,14.083333333333334,0.25,14.333333333333334,2.931152010906612
angelinajoie_,no way josé,491,474,35.166666666666664,0.8333333333333334,36.0,7.3319755600814664
itsminaxvii,Mina Dalusong,514,277,34.0,1.9166666666666667,35.916666666666664,6.987678339818418
rifaatulmaulida,Rifaatul Maulida,490,475,55.25,5.833333333333333,61.083333333333336,12.465986394557824
rizky_fajar_11,Rizky Fajar,517,245,127.41666666666667,0.8333333333333334,128.25,24.806576402321085
candrafreak,,497,779,66.08333333333333,4.5,70.58333333333333,14.2018779342723
hutomojp,Hutomo Jamaluddin Putra,489,340,71.41666666666667,5.083333333333333,76.5,15.644171779141105
kelanasenja,Kinanty Nadia Putri,496,512,85.66666666666667,15.833333333333334,101.5,20.463709677419356
irsan.purnama,Irsan Purnama,509,540,18.833333333333332,2.4166666666666665,21.25,4.174852652259331
imamsz,imam sazali,526,504,14.25,0.3333333333333333,14.583333333333334,2.7724968314321927
arsyaga,Arek Syadzili Tiga,516,61,67.75,1.25,69.0,13.372093023255813
myrcinidelf,Myrcini Anne Del Fierra,515,660,52.25,1.1666666666666667,53.416666666666664,10.372168284789643
yoedhart24,A.Y.A,515,1058,50.416666666666664,1.5833333333333333,52.0,10.097087378640776
realdos17,Wilfred Detecio,510,1155,25.5,1.0833333333333333,26.583333333333332,5.212418300653594
umikhuzaimah82,Umi miza angraeni,537,580,43.833333333333336,1.0833333333333333,44.916666666666664,8.364369956548728
essienere,"Essienere ""Znir"" M.",510,89,110.75,16.083333333333332,126.83333333333333,24.86928104575163
wiwid_perangkai_kata,Wiwid_Cebonk_Bomer,565,523,21.833333333333332,0.25,22.083333333333332,3.908554572271386
a_chandra26,♎️andy♎️,512,410,35.75,1.8333333333333333,37.583333333333336,7.340494791666667
ellelyan,✨Elle✨,519,812,77.25,4.083333333333333,81.33333333333333,15.67116249197174
streetkekinian.wtp,STREET KEKINIAN WATAMPONE,519,139,29.416666666666668,1.1666666666666667,30.583333333333332,5.892742453436096
ssatyabhakti,Satyabhakti,561,373,90.18181818181819,7.2727272727272725,97.45454545454545,17.371576729865502
tiararahartono,Tiara P. Rahartono,517,875,85.75,2.5833333333333335,88.33333333333333,17.08575112830432
aulia.ngrm,Fadhilah AuliaNingrum,581,225,221.25,4.25,225.5,38.81239242685026
fikrifaris_,fikri fariz azzam,524,427,53.75,0.25,54.0,10.305343511450381
rahajengn,rahajeng nurrahmani,526,76,54.666666666666664,1.75,56.416666666666664,10.725602027883397
adachie77,Astri Daniatin Alwie,538,378,49.0,2.0833333333333335,51.083333333333336,9.495043370508055
j.a.parris,J.Parris,524,486,20.583333333333332,0.3333333333333333,20.916666666666668,3.991730279898218
azkasyh,,535,161,117.33333333333333,4.333333333333333,121.66666666666667,22.741433021806852
affants,Affan Tsany,536,466,69.25,5.0,74.25,13.852611940298507
marabelfey,Mara Ramirez,531,667,29.75,3.1666666666666665,32.916666666666664,6.198995605775266
rei_angela,Angela rei 🐰,535,451,9.333333333333334,0.6666666666666666,10.0,1.8691588785046727
azibzahwan_,Muhammad Azib Zahwan,555,377,152.0,18.666666666666668,170.66666666666666,30.75075075075075
auljani,amaristy,586,2140,0.3333333333333333,0.0,0.3333333333333333,0.05688282138794084
kibarkaloka,Kibar Kaloka,535,1189,20.416666666666668,1.25,21.666666666666668,4.049844236760125
gunawan_aswardian,Gunawan Aswardian,582,769,97.0,2.75,99.75,17.13917525773196
hazelsandz,Haz Ariza 📷,542,827,52.333333333333336,3.9166666666666665,56.25,10.378228782287822
igna_tia,,541,307,52.75,4.166666666666667,56.916666666666664,10.520640788662968
fathifn,Fathi Akhfiya,538,255,87.875,4.625,92.5,17.193308550185872
renonereno,,546,869,53.416666666666664,0.0,53.416666666666664,9.783272283272284
imanbdruzmn,Iman Badruzaman,559,498,95.58333333333333,7.583333333333333,103.16666666666667,18.45557543231962
_odyys,AMN,462,65,284.6666666666667,0.3333333333333333,285.0,61.68831168831169
lazyisgood,Rayzal,551,407,67.75,3.5833333333333335,71.33333333333333,12.94615849969752
chyntiaarl_,Chyntia butar butar,565,206,47.333333333333336,1.6666666666666667,49.0,8.672566371681416
dikiaryanto,Diki Aryanto,550,66,65.25,2.0,67.25,12.227272727272727
dhtss,Reza Adhitya Soepangkat,550,357,58.583333333333336,6.666666666666667,65.25,11.863636363636363
chairiza_pettaterru,Andi Putra Chairiza P.T,550,532,126.41666666666667,2.25,128.66666666666666,23.393939393939398
dremone.md,Emdeee,556,312,199.22222222222223,5.888888888888889,205.11111111111111,36.89048760991207
moscavalerian,Mosca Valerian Patty,550,390,54.333333333333336,2.3333333333333335,56.666666666666664,10.303030303030305
erpanberlandyamor,erpanberlandyamor,471,179,143.75,0.75,144.5,30.67940552016985
ohghush,Gulliver Mendoza,552,487,39.75,4.5,44.25,8.016304347826086
yuliksmawati,Yuli Kesuma Wati :b,559,7504,62.166666666666664,6.0,68.16666666666667,12.194394752534286
mamiszaaa,Szarenne 〰️ Mommy Blogger,587,1212,49.5,5.75,55.25,9.412265758091994
philjqn,Philip Joaquin ☯,561,463,56.0,3.0,59.0,10.51693404634581
aureamors,Aurea,559,554,18.75,2.5833333333333335,21.333333333333332,3.8163387000596303
ewithasiregar,Ewitha Masria Siregar,561,396,66.83333333333333,3.5833333333333335,70.41666666666667,12.551990493166961
givaaprilia,gigip,564,310,38.5,1.25,39.75,7.047872340425531
aispenny,Kharisma Satrio Wibowo Busiri,580,415,56.083333333333336,4.166666666666667,60.25,10.387931034482758
irhamgrey,Irkham Hidayat,565,471,75.66666666666667,0.4166666666666667,76.08333333333333,13.466076696165194
ahmadsodik24,Ahmad Sodik,571,496,83.83333333333333,4.333333333333333,88.16666666666667,15.440747227086979
patwithtrick,Patrick Yohanes Oscar,587,575,94.0,1.0833333333333333,95.08333333333333,16.198182850653037
shelvidaniati,Shelvi Daniati,480,95,32.666666666666664,6.083333333333333,38.75,8.072916666666668
agnialf,Agnia Lastika Fauziyah,570,593,127.25,5.916666666666667,133.16666666666666,23.362573099415204
sasabibi,Sabrina,575,804,38.5,3.8333333333333335,42.333333333333336,7.362318840579711
fajrindy,Fajrin Dwiyanto,571,561,70.58333333333333,0.5833333333333334,71.16666666666667,12.46351430239346
sellyftrn,Selly Fitriana,566,760,154.5,22.666666666666668,177.16666666666666,31.301531213191993
anita_rosaria,Anita Siahaan,572,557,58.0,3.5,61.5,10.751748251748252
kenarum,,592,355,102.91666666666667,1.75,104.66666666666667,17.68018018018018
sallyy_sallyyyyy,Sally Vanessa,573,324,107.41666666666667,7.083333333333333,114.5,19.9825479930192
styledbyruod,Ruod | Beauty Activist,597,761,80.91666666666667,6.583333333333333,87.5,14.656616415410383
ruthdiarina,Barbie,577,464,43.083333333333336,4.833333333333333,47.916666666666664,8.304448295782784
kielberoya,Kiel Beroya,587,593,79.66666666666667,3.0,82.66666666666667,14.08290743895514
francerosee,"It's Your Girl, France! ✨",581,899,49.333333333333336,3.75,53.083333333333336,9.136546184738956
zuyyinadh,Zuyyina Dyah,597,524,80.5,3.5,84.0,14.07035175879397
arisridwn,No Name !,579,550,28.75,1.25,30.0,5.181347150259067
aditiadharmawan,Aditia Dharmawan,593,570,50.083333333333336,2.75,52.833333333333336,8.909499718943227
thelittlebinger,Dale,600,559,69.5,6.75,76.25,12.708333333333332
kleahguevara,Kleah Gayle Guevara,594,447,57.5,4.0,61.5,10.353535353535353
jananegre,Jana ✨,591,676,100.58333333333333,3.5,104.08333333333333,17.61139311900733
siyulio_,Yulio Caesar Pangestiaji,581,605,115.33333333333333,6.166666666666667,121.5,20.91222030981067
yogakenthok,yoga,585,577,54.916666666666664,4.666666666666667,59.583333333333336,10.185185185185185
ehafarihah27,ehafarihah27,659,654,129.25,7.0,136.25,20.675265553869497
mariambanii,Mariam Bani,616,643,0,0,0,0
popstar_me,PopStar Influencer Indonesia,652,408,51.666666666666664,0.6666666666666666,52.333333333333336,8.026584867075664
ekanurs_,Eka Nursafitri,593,236,109.5,3.6666666666666665,113.16666666666667,19.083754918493536
sijisiji72,Wahyu saputra,594,1057,36.833333333333336,0.25,37.083333333333336,6.242985409652077
agusth.a,Adi Agustha Yudha,607,641,108.58333333333333,8.666666666666666,117.25,19.316309719934104
kautsaraaa,Kautsara Gita,621,521,96.66666666666667,1.8333333333333333,98.5,15.861513687600645
nanindwis,nanindwis,597,682,95.9,1.5,97.4,16.314907872696818
flosoemantri,,647,1771,24.5,0.9166666666666666,25.416666666666668,3.9283874291602268
khiasamantha,Khia Samantha,619,3006,13.166666666666666,0.4166666666666667,13.583333333333334,2.19439956919763
sarakennyshaw,Sarah Kennysha,600,810,114.8,9.0,123.8,20.633333333333333
lachicathethird,John Beltran Lachica III,606,380,41.333333333333336,0.6666666666666666,42.0,6.9306930693069315
windynurbaiti,Windy Nurbaiti,620,535,42.333333333333336,1.4166666666666667,43.75,7.056451612903227
amangkelayangt,AMANGKELAYAN,602,11,25.916666666666668,3.8333333333333335,29.75,4.941860465116279
nabilaislah,Hell-o!,609,595,82.75,13.0,95.75,15.722495894909688
cevi463,Cevi,590,111,421.0,0.0,421.0,71.35593220338983
althafrevi,,607,697,74.0,2.6666666666666665,76.66666666666667,12.630422844590885
dklook,DK Lucena,609,585,13.75,0.8333333333333334,14.583333333333334,2.3946360153256707
xiiao_ing75,♥Linda Wati💍♥Akien 18-03-2016♥,592,2836,24.666666666666668,0.6666666666666666,25.333333333333332,4.2792792792792795
blvchrstphr,Belva Christopher,646,604,130.16666666666666,8.5,138.66666666666666,21.465428276573785
shierrahsmt,Shierrah Sumacot,614,98,27.75,0.5,28.25,4.600977198697068
generosotolentinojr,Hiro Tolentino,619,263,28.666666666666668,0.8333333333333334,29.5,4.765751211631664
cruzashtin,A S H 🥀,613,395,50.833333333333336,3.0,53.833333333333336,8.78194671016857
rizkira,Muhammad Rizkira Vertrisya,623,654,37.0,9.0,46.0,7.3836276083467105
slfianalraa,Lara Sulfiana,617,252,0,0,0,0
marulli_04,Marulli Azhar,608,129,62.916666666666664,2.3333333333333335,65.25,10.731907894736842
monzmelecio,Monz Melecio,621,441,33.666666666666664,3.5833333333333335,37.25,5.998389694041868
frnsnslm,Frensen Salim,621,722,74.16666666666667,4.916666666666667,79.08333333333333,12.734836285560924
wafdaqnthra,wafda,627,585,175.25,8.666666666666666,183.91666666666666,29.332801701222756
gelovalderamaa,Jose Angelo Valderama,639,448,56.0,1.5833333333333333,57.583333333333336,9.011476264997393
heyhazellyt,Hazell A. 💋,646,1172,47.583333333333336,22.75,70.33333333333333,10.887512899896802
eniallala,,630,596,51.75,1.9166666666666667,53.666666666666664,8.518518518518519
yopikapitra,Yopi Kapitra,639,492,214.0,2.0,216.0,33.80281690140845
mekel.eky,,629,492,64.66666666666667,5.916666666666667,70.58333333333333,11.22151563328034
nugikkunnugraha,Nugraha A. Maulana,640,437,97.41666666666667,11.416666666666666,108.83333333333333,17.005208333333336
jejetss,♥♡jets♡♥,643,538,89.91666666666667,15.75,105.66666666666667,16.433385173665112
corpuzricaaa,Rica Corpuz,647,669,53.416666666666664,2.1666666666666665,55.583333333333336,8.590932509015971
hann07_r,sam gong_HR,684,116,51.166666666666664,1.5833333333333333,52.75,7.711988304093567
abegaillvillacruz,Abegaill Villacruz-Los Baños,650,1060,15.833333333333334,1.1666666666666667,17.0,2.6153846153846154
jylo_sumatrabersatu_real,jylo sumatra bersatu,784,351,113.41666666666667,3.4166666666666665,116.83333333333333,14.902210884353742
ardyan_iank,Muh.Ardyan,651,211,34.166666666666664,0.9166666666666666,35.083333333333336,5.389144905273937
sahrulrmdhni,,662,113,114.5,1.25,115.75,17.48489425981873
jelitanggraini,,650,453,158.33333333333334,15.166666666666666,173.5,26.692307692307693
devinadhrmwn,Devina Novella Dharmawan,651,507,189.58333333333334,8.583333333333334,198.16666666666666,30.440348182283667
alfiannisaaa,Alfiannisaaa,650,381,118.0,1.8888888888888888,119.88888888888889,18.444444444444443
agnespuspid,agnes,685,511,172.5,29.333333333333332,201.83333333333334,29.464720194647203
